endpoint,repeat,fold,n_fit,n_val,n_test,selected_view,selected_block,selected_backend,selected_val_r2,n_features
LOG_MGMB,0,3,203,19,209,chem,core_maccs_fcfp,ridge,0.7246017837217602,2048
LOG_MGMB,0,4,168,54,209,chem,core_maccs_fcfp,xgb,0.7534096498174829,2048
LOG_MGMB,1,0,216,6,209,chem,core_maccs_fcfp,xgb,-0.0901878436125676,2048
LOG_MGMB,1,1,183,39,209,kpgt,core_maccs_fcfp,ridge,0.6474517496317302,2048
LOG_MGMB,1,2,180,42,209,kpgt,core_pair_torsion,ridge,0.7943877242162474,2048
LOG_MGMB,1,3,103,119,209,kpgt,core_pair_torsion,ridge,0.48317072957903207,2048
LOG_MGMB,1,4,206,16,209,unimol,wide_chem,xgb,0.323228455555686,2048
LOG_MGMB,2,0,184,38,209,kpgt,core_maccs_fcfp,ridge,0.8608052934387295,2048
LOG_MGMB,2,1,140,82,209,chem,core_maccs_fcfp,ridge,0.7698868886493337,2048
LOG_MGMB,2,2,155,67,209,fused,wide_chem,ridge,0.593774836389653,2048
LOG_MGMB,2,3,203,19,209,chemberta,wide_chem,xgb,0.5767108325061341,2048
LOG_MGMB,2,4,206,16,209,chem,core_maccs_fcfp,ridge,0.8473919098909133,2048
LOG_MGMB,3,0,128,94,209,kpgt,core_maccs_fcfp,ridge,0.6416087992814508,2048
LOG_MGMB,3,1,198,24,209,kpgt,wide_chem,ridge,0.37370521590947536,2048
LOG_MGMB,3,2,185,37,209,kpgt,core_maccs_fcfp,ridge,0.8496403889976634,2048
LOG_MGMB,3,3,163,59,209,fused,core_maccs_fcfp,ridge,0.5566590386440375,2048
LOG_MGMB,3,4,214,8,209,chemberta,core_pair_torsion,ridge,0.8289891762558997,2048
LOG_MGMB,4,0,203,19,209,kpgt,wide_chem,ridge,0.8744868156998596,2048
LOG_MGMB,4,1,172,50,209,kpgt,core_maccs_fcfp,ridge,0.7721962439932084,2048
LOG_MGMB,4,2,140,82,209,unimol,core_maccs_fcfp,ridge,0.6193047137644554,2048
LOG_MGMB,4,3,165,57,209,unimol,wide_chem,ridge,0.6721620391693901,2048
LOG_MGMB,4,4,208,14,209,kpgt,core_pair_torsion,ridge,0.9132301769527946,2048
