split,metric,test,left,right,n_folds,mean_diff,sd_diff,right_wins,p_raw,p_holm
umap,mae,t,monroe35,pub_rf,50,0.05632300259302046,0.15978818475342343,0.58,0.01611645414410438,0.4190278077467139
umap,mae,t,monroe35,pub_xgboost,50,0.0671159105612789,0.09543920611288924,0.76,8.497844639715757e-06,0.00040789654270635635
umap,mae,t,monroe35,pub_mlp,50,0.08220854616807535,0.11841077132471065,0.72,1.0555063048473199e-05,0.0004960879632782404
umap,mae,t,monroe35,pub_gnn,50,0.14657333350823953,0.182412536534588,0.84,7.208937722591476e-07,3.748647615747568e-05
umap,mae,t,median,pub_knn,50,-0.005220830588533445,0.15246329800104608,0.64,0.8096853945420914,1.0
umap,mae,t,median,pub_svm,50,-0.08322893337765314,0.14175061834317956,0.2,0.00013126182857930348,0.005512996800330746
umap,mae,t,median,pub_rf,50,-0.06514566697631324,0.19572206016959842,0.4,0.02264883649163431,0.5662209122908578
umap,mae,t,median,pub_xgboost,50,-0.054352759008054814,0.16562980557733362,0.38,0.024524167723019512,0.5885800253524682
umap,mae,t,median,pub_mlp,50,-0.03926012340125835,0.18248068103622203,0.4,0.13460781458702428,1.0
umap,mae,t,median,pub_gnn,50,0.025104663938905834,0.21546323483971902,0.56,0.41399757597135556,1.0
