bin,n,mean_sigma,mean_abs_error,endpoint,method
4,146,0.06520665179154285,0.39659896819199997,LOG_MLM,fus_GRM_late_lgbm
5,146,0.07624238070856719,0.4031204598675143,LOG_MLM,fus_GRM_late_lgbm
6,146,0.0898636025351518,0.4418562649028723,LOG_MLM,fus_GRM_late_lgbm
7,147,0.11782394483291926,0.505399659901288,LOG_MLM,fus_GRM_late_lgbm
0,147,0.027767648774494894,0.3173469229653847,LOG_MLM,fus_GRM_late_rf
1,146,0.04066347825894355,0.3700293807330405,LOG_MLM,fus_GRM_late_rf
2,146,0.050137443845657305,0.37291714289677225,LOG_MLM,fus_GRM_late_rf
3,146,0.0592989196251499,0.4199997590142304,LOG_MLM,fus_GRM_late_rf
4,147,0.06794270511433674,0.35764912721456715,LOG_MLM,fus_GRM_late_rf
5,145,0.07890736980117594,0.43553467640784127,LOG_MLM,fus_GRM_late_rf
6,146,0.09298844256492272,0.46040436682349095,LOG_MLM,fus_GRM_late_rf
7,147,0.11975066396909567,0.45924086987807106,LOG_MLM,fus_GRM_late_rf
0,147,0.042658546973344064,0.35285914910018373,LOG_MLM,fus_GRS_early_attfp
1,146,0.0672337485661108,0.3307721109186822,LOG_MLM,fus_GRS_early_attfp
2,146,0.08777415963522768,0.356156152183764,LOG_MLM,fus_GRS_early_attfp
3,146,0.10772017133074593,0.4105899126355794,LOG_MLM,fus_GRS_early_attfp
4,146,0.1276372050075859,0.45197144100312325,LOG_MLM,fus_GRS_early_attfp
5,146,0.14989243227713997,0.4597270536488036,LOG_MLM,fus_GRS_early_attfp
6,146,0.17860175723874952,0.5225133002792843,LOG_MLM,fus_GRS_early_attfp
7,147,0.22992452231389915,0.5301618519075703,LOG_MLM,fus_GRS_early_attfp
0,147,0.03545365924719696,0.32260742495128514,LOG_MLM,fus_GRS_early_lgbm
1,146,0.05352371497435845,0.3478119051375,LOG_MLM,fus_GRS_early_lgbm
2,146,0.06921863610739104,0.408041773526415,LOG_MLM,fus_GRS_early_lgbm
3,146,0.08200155879509238,0.3769143674545608,LOG_MLM,fus_GRS_early_lgbm
4,146,0.0933438594176557,0.3764857495456458,LOG_MLM,fus_GRS_early_lgbm
5,146,0.10610423698455469,0.37417405169410256,LOG_MLM,fus_GRS_early_lgbm
6,146,0.12337453498688851,0.43676577753504475,LOG_MLM,fus_GRS_early_lgbm
7,147,0.16028908565028457,0.4703790513439801,LOG_MLM,fus_GRS_early_lgbm
0,147,0.030336199323323678,0.3391947061380638,LOG_MLM,fus_GRS_early_rf
1,146,0.04673717237362282,0.3757115479771945,LOG_MLM,fus_GRS_early_rf
2,146,0.059504096840595364,0.3397104731259189,LOG_MLM,fus_GRS_early_rf
3,146,0.07186256462300701,0.40528702165317837,LOG_MLM,fus_GRS_early_rf
4,146,0.08308550385098307,0.3523412993271372,LOG_MLM,fus_GRS_early_rf
5,146,0.09467885926534193,0.3959380079553632,LOG_MLM,fus_GRS_early_rf
6,146,0.11107590707846739,0.4005443119362514,LOG_MLM,fus_GRS_early_rf
7,147,0.1413051356843776,0.46903886539133255,LOG_MLM,fus_GRS_early_rf
0,147,0.022434923234744036,0.28675405422600986,LOG_MLM,fus_GRS_late_attfp
1,146,0.03492418619900829,0.3829082462752522,LOG_MLM,fus_GRS_late_attfp
2,146,0.042983274845182766,0.3530237149383293,LOG_MLM,fus_GRS_late_attfp
3,146,0.050044308019531386,0.38143489122390783,LOG_MLM,fus_GRS_late_attfp
4,146,0.057863255703572154,0.3702363701188587,LOG_MLM,fus_GRS_late_attfp
5,146,0.06613286761815054,0.3908120368170422,LOG_MLM,fus_GRS_late_attfp
6,146,0.07724209785945732,0.4528052665078562,LOG_MLM,fus_GRS_late_attfp
7,147,0.09865867381810718,0.42975442164966876,LOG_MLM,fus_GRS_late_attfp
0,147,0.03255942438656077,0.3154207635948094,LOG_MLM,fus_GRS_late_lgbm
1,146,0.05150568921679663,0.39765600799801254,LOG_MLM,fus_GRS_late_lgbm
2,146,0.06427770676606702,0.4447221357997298,LOG_MLM,fus_GRS_late_lgbm
3,146,0.0766742729021759,0.3689006673035691,LOG_MLM,fus_GRS_late_lgbm
4,146,0.09069239752004614,0.4434752144828735,LOG_MLM,fus_GRS_late_lgbm
5,146,0.1057638554669038,0.42851949104163434,LOG_MLM,fus_GRS_late_lgbm
6,146,0.12591203795219863,0.42895813399715876,LOG_MLM,fus_GRS_late_lgbm
7,147,0.16619734509868653,0.4403637218899173,LOG_MLM,fus_GRS_late_lgbm
0,147,0.0327842473824808,0.32081422365379536,LOG_MLM,fus_GRS_late_rf
1,146,0.05006490377193171,0.39312786652182297,LOG_MLM,fus_GRS_late_rf
2,146,0.06153870719496565,0.40555006413858874,LOG_MLM,fus_GRS_late_rf
3,146,0.0722272870156223,0.4175021971682427,LOG_MLM,fus_GRS_late_rf
4,146,0.0846864421719722,0.4337781599470998,LOG_MLM,fus_GRS_late_rf
5,146,0.09913877234216335,0.4096527642873533,LOG_MLM,fus_GRS_late_rf
6,146,0.11609259208620556,0.4325727700419263,LOG_MLM,fus_GRS_late_rf
7,147,0.152609417040105,0.426206143915905,LOG_MLM,fus_GRS_late_rf
0,147,0.03776056420588545,0.3187612899045382,LOG_MLM,fus_GR_early_attfp
1,146,0.05642949996508635,0.34516264699764826,LOG_MLM,fus_GR_early_attfp
2,146,0.0693539581867862,0.39629517570130174,LOG_MLM,fus_GR_early_attfp
3,146,0.08033000015944813,0.41279728064736104,LOG_MLM,fus_GR_early_attfp
4,146,0.09120777665143258,0.3798709059523507,LOG_MLM,fus_GR_early_attfp
5,146,0.10635551378592749,0.4194723354140004,LOG_MLM,fus_GR_early_attfp
6,146,0.12268579842566212,0.3678053386731207,LOG_MLM,fus_GR_early_attfp
7,147,0.15890810240381995,0.36990828989390406,LOG_MLM,fus_GR_early_attfp
0,147,0.032058757545673604,0.2959260430222593,LOG_MLM,fus_GR_early_lgbm
1,146,0.05035380320261252,0.3909085119777005,LOG_MLM,fus_GR_early_lgbm
2,147,0.06281233507019408,0.3589453486539126,LOG_MLM,fus_GR_early_lgbm
3,145,0.07283793606027242,0.41316598513072855,LOG_MLM,fus_GR_early_lgbm
4,146,0.08460717760300078,0.38999998769602007,LOG_MLM,fus_GR_early_lgbm
5,146,0.09634885388711793,0.36748017205718386,LOG_MLM,fus_GR_early_lgbm
6,146,0.11329652573372669,0.46854720232512415,LOG_MLM,fus_GR_early_lgbm
7,147,0.14958995032200129,0.4350672882313721,LOG_MLM,fus_GR_early_lgbm
0,147,0.028572510602834736,0.314616003801958,LOG_MLM,fus_GR_early_rf
1,146,0.04474500643340648,0.40672703191632875,LOG_MLM,fus_GR_early_rf
