task,dimension,model,dataset,split,fold,seed,best_k,val_mae,val_rmse,val_r2,test_mae,test_rmse,test_r2,test_pearson_r,test_spearman_r,median_mae,median_rmse,median_r2,mean_mae,mean_rmse,mean_r2,random_mae,random_rmse,random_r2
regressor,2d,knn,4005,scaffold,3,42,5,0.47197063288360697,0.6296780128880379,0.6852931014814597,0.5470615517446362,0.7634377490468721,0.525624417544769,0.7422502831664921,0.7000358633448256,0.9275266743010979,1.1457629097507671,-0.06847553970901021,0.9250800548097882,1.129512148628532,-0.03838134833647078,1.2138153992971974,1.5470185240671959,-0.9478974713173369
regressor,2d,knn,4005,butina,3,42,3,0.4447539149930632,0.6358136772914741,0.6999794792148468,0.7822407308102942,1.0065431436305734,0.026212067791193117,0.3864335030194803,0.3499750756158688,0.8779401307036704,1.0276729297322935,-0.015101412383574209,0.8720762920890879,1.0200368986767991,-7.221807957225046e-05,1.260303930739044,1.5194081650308093,-1.2189550784424266
regressor,2d,knn,4005,diverse_25,3,42,1,0.6619782820994324,0.8509343132104776,0.2034713795032571,0.7604847606701471,1.0585425374600286,-0.23436436017038353,0.457625472712516,0.4822519673708698,0.7279402292732767,0.9532225984955792,-0.0009569603771040214,0.7821097343095252,0.978283664640203,-0.05428092206570012,1.3288626376730879,1.6541491792437206,-2.014227944440826
regressor,2d,knn,4005,umap,3,42,5,0.46221331438752805,0.6044281127131458,0.6485070514444885,0.8577591495737509,1.0082319666088146,-0.1678694578274862,0.14346359925981797,0.057620500854687756,0.8591131259055782,0.9875082571363849,-0.12035290998518833,0.8880376211338405,1.0296816590439806,-0.21808986360092986,1.2097335564656384,1.5263072669556625,-1.676438811532488
regressor,2d,knn,4005,time,3,42,3,0.4784792160186341,0.6923647881204273,0.5950853444468834,0.8219810076413655,1.0349089829908982,0.2077568272332858,0.5832730799642347,0.5700576602888612,1.0218488404101567,1.2245344632803805,-0.1091651532874347,1.0087703473250196,1.200785420962214,-0.0665592947767295,1.2292279378907374,1.5377261574511196,-0.7490901578268072
regressor,2d,knn,4822,random,3,42,3,0.47041099717305335,0.6343033657796503,0.7243543652558744,0.45781521261527447,0.5858674705883027,0.746697535928025,0.8654265988712111,0.8450453278040425,0.9799503554418072,1.1674231262492447,-0.005766645365527845,0.9793837715453046,1.1666096088577353,-0.004365399226817557,1.3874605916218128,1.7037892517202113,-1.1422610550003078
regressor,2d,knn,4822,scaffold,3,42,5,0.3945928695827229,0.560412378208669,0.7773384687901082,0.4936637165665605,0.6547212591854752,0.6464150266500436,0.8093957887934966,0.7931501761986979,0.9612877073798002,1.1087176371254968,-0.013964678502007555,0.9612395044336898,1.1086209038382087,-0.013787753639546763,1.3856187147593804,1.6753748517809566,-1.3152873479663572
regressor,2d,knn,4822,butina,3,42,1,0.39936450175014765,0.549622132384232,0.7315144779133836,1.3107230989706153,1.658324534913982,-0.1488634381672005,0.32193646809815263,0.2840005685276333,1.4249228960637608,1.5520799417055078,-0.00636964532231965,1.4169779755120988,1.5631478877470322,-0.020773747826142275,1.4382186297428834,1.8188022756176112,-0.38197546868710597
regressor,2d,knn,4822,diverse_25,3,42,3,0.8296501365456305,1.0273570761257351,0.29001803854901576,0.5120892561059638,0.7074877647996809,0.6462361542620916,0.8088886227342187,0.7911960219204047,1.0119463874061978,1.2676126241506007,-0.13566094431107611,0.9935406986470754,1.2046135066603498,-0.025583525462427037,1.509165016683353,1.9060084526693144,-1.5675873289207254
regressor,2d,knn,4822,umap,3,42,3,0.4220258020324303,0.5658490964317784,0.7758734596731309,0.9408229134440703,1.2592065375651114,0.16574950075306738,0.5262772553724442,0.490083829762327,1.2521948338427988,1.4766260035392988,-0.14721167971994364,1.2661963610585079,1.4980360175748864,-0.180720343993799,1.5565329059144313,1.8637206614560784,-0.8275285714112606
regressor,2d,knn,4822,time,3,42,5,0.523447738149631,0.754451745360468,0.584225935222294,0.6793835205656127,0.8827124388685673,0.5860866468293902,0.7718359292183345,0.7537231086820679,1.2185291251664425,1.385085113418775,-0.01911658050571985,1.2217934169441957,1.4037974866627716,-0.046838930897916464,1.4189448168308831,1.737687662853815,-0.604036992047394
regressor,2d,knn,1865,random,4,42,3,0.5319097438197489,0.7754028883695945,0.553877818190859,0.5100896316037891,0.699235002444173,0.5057260268629555,0.7171675330794216,0.731612617106243,0.8019771784534839,0.9948153967386155,-0.00047540940925827613,0.8040482422401939,0.9949345289986138,-0.0007150438853795738,1.0979686358331366,1.3628319027050464,-0.8776126610742732
regressor,2d,knn,1865,scaffold,4,42,3,0.403442899949834,0.5704858871326104,0.6862679372168632,0.5722554317659478,0.8178310569972392,0.3590992690250979,0.6490264326977989,0.6514086401098458,0.8117070434799437,1.021942032919292,-0.0007280978346151379,0.8135966925039554,1.0222357094362544,-0.0013033409707472465,1.1040691623807954,1.4000148836255677,-0.8781439462044884
regressor,2d,knn,1865,butina,4,42,5,0.46308435779119467,0.661768311851668,0.5778185410891263,0.7461325499733256,0.9638455791495394,-0.033792022283388956,0.4661014478818952,0.4013698101957386,0.8510535187153029,1.026406217594174,-0.17234869756575422,0.8323453402817012,1.0057154232715704,-0.12555955125108098,1.1349691495728331,1.3802217895099245,-1.1199031274947773
regressor,2d,knn,1865,diverse_25,4,42,5,0.70530908666585,0.8782152893708677,0.30728871971756055,0.8798633372818528,1.077127840444815,0.035174988316753364,0.3135317274137432,0.3103307845161037,0.9336768698682171,1.1092506961466249,-0.023230485711842164,0.9305293864106512,1.0989675659073417,-0.004347033893680408,1.2477519646930766,1.5455230321034972,-0.9863922584580447
regressor,2d,knn,1865,umap,4,42,3,0.49682206008574914,0.7441360633673582,0.4616346739365428,0.9612292651949219,1.1516884585669074,-0.8477558327142933,-0.009585862417954972,-0.004593775482588103,0.753935026606807,0.9144335645272273,-0.16487377948275284,0.7454832678753085,0.9009942091848387,-0.13088528211130335,1.1434008799930295,1.434399141521515,-1.8662534192125504
regressor,2d,knn,1865,time,4,42,3,0.45887582124429893,0.6488154564589732,0.5817781761494921,0.827843965268981,1.0093801627466137,0.026127137383078036,0.33016224926959165,0.3235669957213278,0.8661041531693031,1.0728929671643843,-0.10028585678283752,0.8842548160020095,1.093686827266451,-0.14334868406045387,1.124378977842183,1.3851323580525452,-0.8338984498260811
regressor,2d,knn,220,random,4,42,5,0.4725814222537087,0.6417185399207949,0.6431583154914973,0.5356789552856444,0.7224792114584425,0.6110053835913896,0.7841989347418541,0.7257920906208336,0.9088299181950212,1.200562600495132,-0.07414398491998542,0.9137793400840093,1.1608147104197153,-0.00419646084241565,1.1725687264231097,1.5631442034064411,-0.8209204328955568
regressor,2d,knn,220,scaffold,4,42,5,0.4470442551282618,0.680753072378634,0.6666946793776547,0.6189580422752673,0.7945775635326445,0.38751289366756925,0.6608698041773298,0.6238667303926339,0.7978799734644809,1.0514094301645964,-0.07242786810621316,0.8045954368718435,1.0157127178059764,-0.0008434143761746338,1.1932363849309862,1.5551319435142834,-1.3461665549919615
regressor,2d,knn,220,butina,4,42,3,0.46115935251209994,0.6455189904204065,0.7321995615163075,0.838791707769181,1.1881858420366056,-0.2923255634412769,0.3576272341693967,0.35671809390281467,0.8451685275331787,1.045719221640198,-0.0009983710615895092,0.900052603372177,1.0782837152918296,-0.0643127908550587,1.2101347788943382,1.5658487037793227,-1.2444130388438257
regressor,2d,knn,220,diverse_25,4,42,5,0.8831260490254347,1.196649525658078,0.09929461311653298,0.7682545897767431,1.0873306487766405,0.1381851165237058,0.3835996679715936,0.4704991404469662,0.8913263184133435,1.2158667254996725,-0.07761264093465425,0.8884012632113477,1.1823093155829172,-0.018950187369653815,1.2924581794004477,1.7210833884528463,-1.1592083765332215
regressor,2d,knn,220,umap,4,42,5,0.5047209769638237,0.6687435479556691,0.6935551550505887,0.761250307514269,0.9754332598238096,0.08594003857199684,0.3773403596715002,0.326047815242542,0.7861102709738802,1.0465809973175404,-0.052265317345966844,0.810325927145269,1.0203075005637483,-9.607952992984892e-05,1.2041851596765996,1.5504623949053749,-1.309415311013694
regressor,2d,knn,220,time,4,42,3,0.5489661943649554,0.7733878786988511,0.4731240345055092,1.0770163895709544,1.447538523109988,-0.4515389774581495,0.11843154057946013,0.12793901977696245,0.9095601248279277,1.2021618535245415,-0.0011388791879010096,0.9564403879538378,1.209644722461598,-0.013640866535630902,1.2467017249194092,1.6666420621244393,-0.9242128824659812
