endpoint,repeat,fold,fusion,modality,mean_abs_shap
LOG_MLM,3,0,early,smiles,0.731415714845174
LOG_MLM,0,2,early,rdkit,0.05845449841995026
LOG_MLM,0,2,early,mol2vec,0.1807579068468208
LOG_MLM,0,2,early,gnn,0.8235940130898851
LOG_MLM,0,2,early,smiles,0.09466856195399032
LOG_MLM,0,0,early,rdkit,0.09581857211392837
LOG_MLM,0,0,early,mol2vec,0.2869184513521592
LOG_MLM,0,0,early,gnn,0.6281149215155746
LOG_MLM,0,0,early,smiles,0.4349618183575776
LOG_MLM,0,1,early,rdkit,0.05369280308056837
LOG_MLM,0,1,early,mol2vec,0.14481915027540282
LOG_MLM,0,1,early,gnn,0.5028386433540977
LOG_MLM,0,1,early,smiles,0.735691669625802
LOG_MLM,0,3,early,rdkit,0.04537865762884372
LOG_MLM,0,3,early,mol2vec,0.2272793299235003
LOG_MLM,0,3,early,gnn,0.6047762331827902
LOG_MLM,0,3,early,smiles,0.48753613341906377
LOG_MLM,1,0,early,rdkit,0.027668570614570506
LOG_MLM,1,0,early,mol2vec,0.14821577570597885
LOG_MLM,1,0,early,gnn,0.7032246329489412
LOG_MLM,1,0,early,smiles,0.11341834891164518
LOG_MLM,1,1,early,rdkit,0.04736016295017954
LOG_MLM,1,1,early,mol2vec,0.20510179505294013
LOG_MLM,1,1,early,gnn,0.698869418790616
LOG_MLM,1,1,early,smiles,0.40108744475566005
LOG_MLM,3,2,early,rdkit,0.02773807626738102
LOG_MLM,3,2,early,mol2vec,0.1629819209341279
LOG_MLM,3,2,early,gnn,0.6067207788312552
LOG_MLM,3,2,early,smiles,0.6794005581083797
LOG_MLM,2,3,early,rdkit,0.0326674388167921
LOG_MLM,2,3,early,mol2vec,0.16539750943610065
LOG_MLM,2,3,early,gnn,0.6784352393269235
LOG_MLM,2,3,early,smiles,0.3140580005998775
LOG_MLM,2,4,early,rdkit,0.03050771456914897
LOG_MLM,2,4,early,mol2vec,0.14913141188527967
LOG_MLM,2,4,early,gnn,0.7255262043154116
LOG_MLM,2,4,early,smiles,0.42050293533368616
LOG_MLM,3,1,early,rdkit,0.05812554663588352
LOG_MLM,3,1,early,mol2vec,0.17161558858298365
LOG_MLM,3,1,early,gnn,0.5800225870467222
LOG_MLM,3,1,early,smiles,0.5235937443720313
LOG_MLM,4,2,early,rdkit,0.03848194277383295
LOG_MLM,4,2,early,mol2vec,0.15541516544466952
LOG_MLM,4,2,early,gnn,0.40107901946681956
LOG_MLM,4,2,early,smiles,0.7939662171810726
LOG_MLM,3,4,early,rdkit,0.03989321793872632
LOG_MLM,3,4,early,mol2vec,0.2059496868750335
LOG_MLM,3,4,early,gnn,0.693138498624877
LOG_MLM,3,4,early,smiles,0.2802978665321167
LOG_MLM,4,0,early,rdkit,0.0406375496425486
LOG_MLM,4,0,early,mol2vec,0.18465375173251447
LOG_MLM,4,0,early,gnn,0.7585226168810776
LOG_MLM,4,0,early,smiles,0.11806886221419619
LOG_MLM,3,3,early,rdkit,0.05127498574728035
LOG_MLM,3,3,early,mol2vec,0.18004709765759858
LOG_MLM,3,3,early,gnn,0.7614419446916004
LOG_MLM,3,3,early,smiles,0.15707619923136384
LOG_MLM,4,3,early,rdkit,0.03547679136629873
LOG_MLM,4,3,early,mol2vec,0.13404778152573754
LOG_MLM,4,3,early,gnn,0.7534303903490116
LOG_MLM,4,3,early,smiles,0.10010947577764219
LOG_MLM,4,1,early,rdkit,0.03725950665016664
LOG_MLM,4,1,early,mol2vec,0.125094346620372
LOG_MLM,4,1,early,gnn,0.6366468561271135
LOG_MLM,4,1,early,smiles,0.5571937086160292
LOG_MLM,4,4,early,rdkit,0.0429656035925054
LOG_MLM,4,4,early,mol2vec,0.19487360080122154
LOG_MLM,4,4,early,gnn,0.7992948449416517
LOG_MLM,4,4,early,smiles,0.13400317452975657
LOG_Caco_AB,0,0,early,rdkit,0.032773943508215664
LOG_Caco_AB,0,0,early,mol2vec,0.13445309812076583
LOG_Caco_AB,0,0,early,gnn,0.4744083860458557
LOG_Caco_AB,0,0,early,smiles,0.038852899499840325
LOG_Caco_AB,0,2,early,rdkit,0.04994684291843921
LOG_Caco_AB,0,2,early,mol2vec,0.15552339762199544
LOG_Caco_AB,0,2,early,gnn,0.44876281941257556
LOG_Caco_AB,0,2,early,smiles,0.035056151762641784
LOG_Caco_AB,0,3,early,rdkit,0.015917607298600964
LOG_Caco_AB,0,3,early,mol2vec,0.06535374769496083
LOG_Caco_AB,0,3,early,gnn,0.2289185644910955
LOG_Caco_AB,0,3,early,smiles,0.3592433682540963
LOG_Caco_AB,0,4,early,rdkit,0.03385797191617125
LOG_Caco_AB,0,4,early,mol2vec,0.11410074041965507
LOG_Caco_AB,0,4,early,gnn,0.4638930933360178
LOG_Caco_AB,0,4,early,smiles,0.05173922941715679
LOG_Caco_AB,0,1,early,rdkit,0.020641306343953385
LOG_Caco_AB,0,1,early,mol2vec,0.07526965602255085
LOG_Caco_AB,0,1,early,gnn,0.4398759729192878
LOG_Caco_AB,0,1,early,smiles,0.12641048468539648
LOG_Caco_AB,1,2,early,rdkit,0.04181905709876663
LOG_Caco_AB,1,2,early,mol2vec,0.1403112508646776
LOG_Caco_AB,1,2,early,gnn,0.4982315378838188
LOG_Caco_AB,1,2,early,smiles,0.03582928308582676
LOG_Caco_AB,1,0,early,rdkit,0.02405071775074389
LOG_Caco_AB,1,0,early,mol2vec,0.11229091747531378
LOG_Caco_AB,1,0,early,gnn,0.3756203127394626
LOG_Caco_AB,1,0,early,smiles,0.17150183434792413
LOG_Caco_AB,2,3,early,rdkit,0.03997139689868052
LOG_Caco_AB,2,3,early,mol2vec,0.08302195834125159
LOG_Caco_AB,2,3,early,gnn,0.053173449678653534
LOG_Caco_AB,2,3,early,smiles,0.4776746754637228
LOG_Caco_Efflux,0,0,early,rdkit,0.03863773972298297
LOG_Caco_Efflux,0,0,early,mol2vec,0.1453723010812304
LOG_Caco_Efflux,0,0,early,gnn,0.33898558805237317
LOG_Caco_Efflux,0,0,early,smiles,0.161946716290848
LOG_Caco_AB,1,1,early,rdkit,0.024840509505228082
LOG_Caco_AB,1,1,early,mol2vec,0.08500863597897672
LOG_Caco_AB,1,1,early,gnn,0.41832257801515876
LOG_Caco_AB,1,1,early,smiles,0.1457952660489794
LOG_Caco_Efflux,0,1,early,rdkit,0.01814246093619208
LOG_Caco_Efflux,0,1,early,mol2vec,0.09363726394888708
LOG_Caco_Efflux,0,1,early,gnn,0.32388646888316464
LOG_Caco_Efflux,0,1,early,smiles,0.18401146964379048
LOG_Caco_Efflux,0,2,early,rdkit,0.06675619198434864
LOG_Caco_Efflux,0,2,early,mol2vec,0.2596813552787717
LOG_Caco_Efflux,0,2,early,gnn,0.4114780344991437
LOG_Caco_Efflux,0,2,early,smiles,0.07157086713413849
LOG_Caco_Efflux,0,3,early,rdkit,0.04448772527875086
LOG_Caco_Efflux,0,3,early,mol2vec,0.18140619943644198
LOG_Caco_Efflux,0,3,early,gnn,0.40382986844031626
LOG_Caco_Efflux,0,3,early,smiles,0.14825641514708088
LOG_Caco_AB,4,3,early,rdkit,0.030051044036324186
LOG_Caco_AB,4,3,early,mol2vec,0.10596344262073709
LOG_Caco_AB,4,3,early,gnn,0.41979012987858316
LOG_Caco_AB,4,3,early,smiles,0.11245794571003673
LOG_Caco_AB,2,1,early,rdkit,0.013680608409261382
LOG_Caco_AB,2,1,early,mol2vec,0.06574696361081761
LOG_Caco_AB,2,1,early,gnn,0.2034847064502765
LOG_Caco_AB,2,1,early,smiles,0.38068403456489047
LOG_Caco_AB,1,3,early,rdkit,0.03176839679751461
LOG_Caco_AB,1,3,early,mol2vec,0.08450413336788598
LOG_Caco_AB,1,3,early,gnn,0.4773611741987417
LOG_Caco_AB,1,3,early,smiles,0.04682417342494579
LOG_Caco_Efflux,0,4,early,rdkit,0.0428112871775584
LOG_Caco_Efflux,0,4,early,mol2vec,0.18687033355989016
LOG_Caco_Efflux,0,4,early,gnn,0.29238366756434075
LOG_Caco_Efflux,0,4,early,smiles,0.20521077140737376
LOG_Caco_AB,2,2,early,rdkit,0.02918984489484263
LOG_Caco_AB,2,2,early,mol2vec,0.09545277295406272
LOG_Caco_AB,2,2,early,gnn,0.4546649664749634
LOG_Caco_AB,2,2,early,smiles,0.06251600386431626
LOG_Caco_AB,3,0,early,rdkit,0.03177357822102678
LOG_Caco_AB,3,0,early,mol2vec,0.11363661613300705
LOG_Caco_AB,3,0,early,gnn,0.4648582005351669
LOG_Caco_AB,3,0,early,smiles,0.057945804591784986
LOG_Caco_Efflux,1,2,early,rdkit,0.04579594045416042
LOG_Caco_Efflux,1,2,early,mol2vec,0.18050329718698624
LOG_Caco_Efflux,1,2,early,gnn,0.4280623846861046
LOG_Caco_Efflux,1,2,early,smiles,0.04956768650949899
LOG_Caco_Efflux,1,1,early,rdkit,0.009145441222533213
LOG_Caco_Efflux,1,1,early,mol2vec,0.05138223319576582
LOG_Caco_Efflux,1,1,early,gnn,0.19083193941363055
LOG_Caco_Efflux,1,1,early,smiles,0.38368717471782826
LOG_Caco_AB,2,0,early,rdkit,0.02612458408764811
LOG_Caco_AB,2,0,early,mol2vec,0.08921348980360158
LOG_Caco_AB,2,0,early,gnn,0.4827307905911602
LOG_Caco_AB,2,0,early,smiles,0.06807643008849756
LOG_Caco_AB,3,2,early,rdkit,0.024795043355466333
LOG_Caco_AB,3,2,early,mol2vec,0.09611953047515738
LOG_Caco_AB,3,2,early,gnn,0.4038137098499266
LOG_Caco_AB,3,2,early,smiles,0.1569802505788883
LOG_Caco_AB,2,4,early,rdkit,0.03097991222400152
LOG_Caco_AB,2,4,early,mol2vec,0.11556711163129185
LOG_Caco_AB,2,4,early,gnn,0.4094955128403807
LOG_Caco_AB,2,4,early,smiles,0.13855357116670936
LOG_Caco_AB,1,4,early,rdkit,0.02925495285006792
LOG_Caco_AB,1,4,early,mol2vec,0.10614368960783499
LOG_Caco_AB,1,4,early,gnn,0.48887237110905374
LOG_Caco_AB,1,4,early,smiles,0.029101133145252162
LOG_Caco_Efflux,1,4,early,rdkit,0.0430383263207712
LOG_Caco_Efflux,1,4,early,mol2vec,0.20324452363996526
LOG_Caco_Efflux,1,4,early,gnn,0.4498247700731866
LOG_Caco_Efflux,1,4,early,smiles,0.04539554386649401
LOG_Caco_Efflux,2,0,early,rdkit,0.016891192580098253
LOG_Caco_Efflux,2,0,early,mol2vec,0.08187960615697172
LOG_Caco_Efflux,2,0,early,gnn,0.3129991717089711
LOG_Caco_Efflux,2,0,early,smiles,0.22461837909379037
LOG_Caco_Efflux,2,1,early,rdkit,0.041660136514829714
LOG_Caco_Efflux,2,1,early,mol2vec,0.1550768164894058
LOG_Caco_Efflux,2,1,early,gnn,0.3463872937940249
LOG_Caco_Efflux,2,1,early,smiles,0.18767390966277703
LOG_Caco_AB,4,1,early,rdkit,0.12176043988748546
