nonstereo_aromatic_smiles,pIC50,chembl_cid,Target ID,year
OCc1ccc(-c2nc(N3CCOCC3)c3ncccc3n2)cc1,5.15676722190199,CHEMBL3109127,4005,2014.0
OCc1cccc(-c2nc(N3CCOCC3)c3[nH]cc(CN4CCCC4)c3n2)c1,7.67778070526608,CHEMBL1088790,4005,2010.0
Cc1cc(OC(C)c2cc(C(=O)N(C)CCO)cn3c(=O)cc(N4CCOCC4)nc23)ccc1F,5.619788758288394,CHEMBL3318726,4005,2014.0
CC1(C)OCCN(c2cc(-c3cc(C(F)(F)F)c4c(N)ncnn34)ccc2C#N)C1=O,6.6020599913279625,CHEMBL4093593,4005,2017.0
Fc1ccc2c(c1)nc1n2CCOc2ccc(Cl)cc2-1,6.548213564475709,CHEMBL3401244,4005,2015.0
CNC(=O)C(C)Cn1cnc2ccc(-c3cnc(CO)c(NS(=O)(=O)c4ccc(F)cc4Cl)c3)cc2c1=O,7.522878745280337,CHEMBL4647286,4005,2020.0
CNC(=O)C(C)Cn1cnc2ccc(-c3cnc(N(C)C)c(NS(=O)(=O)c4ccc(F)cc4Cl)c3)cc2c1=O,8.075720713938118,CHEMBL4636153,4005,2020.0
FC(F)(F)c1nncn1C1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)CC1,6.499996931948306,CHEMBL4086820,4005,2017.0
FC(F)Oc1cccc2c1nc(C(F)F)n2-c1nc(N2CCOCC2)nc(N2CCOCC2)n1,8.327902142064282,CHEMBL1911002,4005,2011.0
CNC(=O)C(C)Cn1cnc2ccc(-c3cnc(OC)c(NS(=O)(=O)c4cccc(C(F)(F)F)c4)c3)cc2c1=O,8.356547323513812,CHEMBL4636353,4005,2020.0
FC(F)c1nc2ccccc2n1-c1nc(N2CCOCC2)nc(N2CCOCC2)n1,7.909329802057957,CHEMBL586702,4005,2010.0
CNC(=O)C(C)Cn1cnc2ccc(-c3cnc(OC)c(NS(=O)(=O)c4ccc(F)cc4Cl)c3)cc2c1=O,8.69149982943955,CHEMBL4632970_CHEMBL4635942,4005,
CCC(Cn1cnc2ccc(-c3cnc(OC)c(NS(=O)(=O)c4ccc(F)cc4Cl)c3)cc2c1=O)C(N)=O,8.161150909262744,CHEMBL4636828,4005,2020.0
CCC(N)C(=O)Nc1nc(C)c(-c2cnc(Cl)c(NS(=O)(=O)c3ccccc3)c2)s1,7.282779424212498,CHEMBL4168490_CHEMBL4176347,4005,
CNC(=O)C(C)Cn1cnc2ccc(-c3cnc(OC)c(NS(=O)(=O)c4ccc(F)cc4)c3)cc2c1=O,8.468521082957745,CHEMBL4641876,4005,2020.0
CNC(=O)C(C)Cn1cnc2ccc(-c3cnc(OC)c(NS(=O)(=O)c4ccc(Cl)cc4Cl)c3)cc2c1=O,8.67778070526608,CHEMBL4632604,4005,2020.0
O=C(Nc1ccc(F)c(Cl)c1)Nc1ccc(-c2nc3c(c(N4CCOCC4)n2)CSCC3)cn1,6.161150909262744,CHEMBL3793049,4005,2016.0
CCn1ccc(-c2ccc3nc(N)sc3c2)cc1=O,5.200000237109354,CHEMBL3600778,4005,2015.0
O=C(Nc1ccc(F)c(Cl)c1)Nc1ccc(-c2nc3c(c(N4CCOCC4)n2)CS(=O)(=O)CC3)cn1,5.172630726946174,CHEMBL3793268,4005,2016.0
Fc1ccc(-n2ncnc2-c2cc3c(s2)-c2ccccc2OCC3)c(F)c1,8.920818753952375,CHEMBL2322777,4005,2013.0
CNC(=O)C(C)Cn1cnc2ccc(-c3cnc(OC)c(NS(=O)(=O)c4c(C)noc4C)c3)cc2c1=O,8.366531544420413,CHEMBL4646419,4005,2020.0
