endpoint,method,label,n_folds,r2_mean,r2_sd,spearman_mean,spearman_sd,mae_mean,mae_sd
LOG_MDR1_ER,fus_GRMS_early_lgbm,LGBM | Early | GNN + RDKit + Mol2Vec + SMILES,25,0.4958411223273165,0.022806500344268597,0.7381376075543372,0.011001411477749124,0.34486683200633755,0.007891924155031666
LOG_MDR1_ER,fus_GRMS_early_rf,RF | Early | GNN + RDKit + Mol2Vec + SMILES,25,0.5046691161399729,0.023014647663170875,0.7441279423908742,0.01105906726785436,0.3429748811560925,0.007495337689537655
LOG_MDR1_ER,fus_GRMS_late_attfp,AttentiveFP | Late | GNN + RDKit + Mol2Vec + SMILES,25,0.5242815295971132,0.00871448128305059,0.7427270790067054,0.007035738220392365,0.3481368458768722,0.005325039913078295
LOG_MDR1_ER,fus_GRMS_late_lgbm,LGBM | Late | GNN + RDKit + Mol2Vec + SMILES,25,0.39498230369782106,0.014246805222624446,0.6544686832151397,0.010661398300932087,0.3973237028284704,0.005132617955356347
LOG_MDR1_ER,fus_GRMS_late_rf,RF | Late | GNN + RDKit + Mol2Vec + SMILES,25,0.39162570518610296,0.016350849203730745,0.651714856112137,0.010945095605732461,0.39830729415907945,0.005708945770517108
LOG_MDR1_ER,fus_GRM_early_attfp,AttentiveFP | Early | GNN + RDKit + Mol2Vec,25,0.475802636438152,0.016636662099787636,0.7343925644550928,0.011345598837802529,0.37370051364266493,0.007764956978442161
LOG_MDR1_ER,fus_GRM_early_lgbm,LGBM | Early | GNN + RDKit + Mol2Vec,25,0.49358264106295135,0.023028045666812012,0.7403632431347846,0.00904303561887562,0.34459728836569326,0.006299040956025673
LOG_MDR1_ER,fus_GRM_early_rf,RF | Early | GNN + RDKit + Mol2Vec,25,0.503658132978279,0.021725742973779372,0.7443114404996397,0.009680519722924578,0.3421551728801995,0.006598606913482014
LOG_MDR1_ER,fus_GRM_late_attfp,AttentiveFP | Late | GNN + RDKit + Mol2Vec,25,0.5215373797240276,0.010364497631555789,0.7430343867860869,0.007907938762070018,0.3498946195779141,0.006079924292564705
LOG_MDR1_ER,fus_GRM_late_lgbm,LGBM | Late | GNN + RDKit + Mol2Vec,25,0.4143958965217234,0.03990657004170473,0.6687324225134077,0.029078864001098558,0.3884214838899961,0.015220682571201235
