target,split,fold,fold_id,n_test,n_train,mean_max_sim,median_max_sim,frac_novel
2409,butina,4,tid2409_f4,245,884,0.5319507718086243,0.5333333611488342,0.12244897959183673
2409,butina,5,tid2409_f5,244,885,0.5374111533164978,0.5230769515037537,0.10245901639344263
2409,diverse_25,1,tid2409_f1,62,220,0.453180193901062,0.48038458824157715,0.11290322580645161
2409,diverse_25,2,tid2409_f2,61,221,0.4516114592552185,0.4736842215061188,0.13114754098360656
2409,diverse_25,3,tid2409_f3,61,221,0.47646576166152954,0.5,0.03278688524590164
2409,diverse_25,4,tid2409_f4,61,221,0.4480590224266052,0.4743589758872986,0.11475409836065574
2409,diverse_25,5,tid2409_f5,61,221,0.455489844083786,0.48275861144065857,0.11475409836065574
2409,umap,1,tid2409_f1,199,926,0.3903244137763977,0.38333332538604736,0.24120603015075376
2409,umap,2,tid2409_f2,277,855,0.4183850884437561,0.38235294818878174,0.2888086642599278
2409,umap,3,tid2409_f3,200,925,0.47858506441116333,0.46875,0.07
2409,umap,4,tid2409_f4,355,785,0.4346991777420044,0.4354838728904724,0.29577464788732394
2409,umap,5,tid2409_f5,196,928,0.4938078224658966,0.5,0.05612244897959184
2409,time,1,tid2409_f1,834,325,0.4183131456375122,0.385839581489563,0.38968824940047964
2409,time,2,tid2409_f2,644,496,0.44835367798805237,0.4074714779853821,0.2468944099378882
2409,time,3,tid2409_f3,328,781,0.4250548779964447,0.3965468108654022,0.25609756097560976
2409,time,4,tid2409_f4,239,861,0.41147592663764954,0.37931033968925476,0.30962343096234307
2409,time,5,tid2409_f5,109,978,0.5183549523353577,0.5,0.1834862385321101
4005,random,1,tid4005_f1,253,909,0.7580678462982178,0.7749999761581421,0.011857707509881422
4005,random,2,tid4005_f2,253,909,0.7620463371276855,0.78125,0.011857707509881422
4005,random,3,tid4005_f3,252,909,0.7427244782447815,0.7709602117538452,0.01984126984126984
4005,random,4,tid4005_f4,252,909,0.759086012840271,0.7777777910232544,0.007936507936507936
4005,random,5,tid4005_f5,252,909,0.7413619756698608,0.7657912373542786,0.023809523809523808
4005,scaffold,1,tid4005_f1,253,909,0.6770679354667664,0.6913580298423767,0.011857707509881422
4005,scaffold,2,tid4005_f2,253,909,0.6902669668197632,0.699999988079071,0.02766798418972332
4005,scaffold,3,tid4005_f3,252,909,0.6752890348434448,0.6896551847457886,0.027777777777777776
4005,scaffold,4,tid4005_f4,252,909,0.6464427709579468,0.6771235466003418,0.06349206349206349
4005,scaffold,5,tid4005_f5,252,909,0.6335550546646118,0.6625000238418579,0.07936507936507936
4005,butina,1,tid4005_f1,253,909,0.4908563792705536,0.4588235318660736,0.2727272727272727
4005,butina,2,tid4005_f2,253,909,0.4935382306575775,0.46987950801849365,0.16996047430830039
4005,butina,3,tid4005_f3,252,909,0.514819324016571,0.5075775384902954,0.19444444444444445
4005,butina,4,tid4005_f4,252,909,0.4519287943840027,0.4295634925365448,0.4365079365079365
4005,butina,5,tid4005_f5,252,909,0.4326488971710205,0.34569597244262695,0.5079365079365079
4005,diverse_25,1,tid4005_f1,63,227,0.450916588306427,0.4754098355770111,0.15873015873015872
4005,diverse_25,2,tid4005_f2,63,227,0.43037018179893494,0.4675324559211731,0.2222222222222222
4005,diverse_25,3,tid4005_f3,63,227,0.4476839303970337,0.4655172526836395,0.14285714285714285
4005,diverse_25,4,tid4005_f4,63,227,0.44637900590896606,0.45679011940956116,0.1111111111111111
4005,diverse_25,5,tid4005_f5,63,227,0.46105504035949707,0.49275362491607666,0.09523809523809523
4005,umap,1,tid4005_f1,341,829,0.3667430579662323,0.3417721390724182,0.5190615835777126
4005,umap,2,tid4005_f2,224,935,0.31446632742881775,0.2914029359817505,0.7366071428571429
4005,umap,3,tid4005_f3,185,970,0.4407573938369751,0.4146341383457184,0.35135135135135137
4005,umap,4,tid4005_f4,215,943,0.49074625968933105,0.4864864945411682,0.13488372093023257
4005,umap,5,tid4005_f5,297,869,0.4505588412284851,0.40789473056793213,0.2962962962962963
4005,time,1,tid4005_f1,906,297,0.35404667258262634,0.3253012001514435,0.5607064017660044
4005,time,2,tid4005_f2,754,434,0.43259719014167786,0.42222222685813904,0.27586206896551724
4005,time,3,tid4005_f3,499,664,0.43066009879112244,0.4153846204280853,0.23046092184368738
4005,time,4,tid4005_f4,377,774,0.44317829608917236,0.4354838728904724,0.1989389920424403
4005,time,5,tid4005_f5,244,893,0.4920671880245209,0.47174328565597534,0.13934426229508196
4822,random,1,tid4822_f1,224,803,0.7599155306816101,0.7857142686843872,0.017857142857142856
4822,random,2,tid4822_f2,223,804,0.7608378529548645,0.7910447716712952,0.02242152466367713
4822,random,3,tid4822_f3,223,804,0.7569131255149841,0.7868852615356445,0.03587443946188341
4822,random,4,tid4822_f4,223,804,0.766259491443634,0.800000011920929,0.02242152466367713
4822,random,5,tid4822_f5,223,804,0.7426064014434814,0.7777777910232544,0.03139013452914798
4822,scaffold,1,tid4822_f1,224,803,0.6577814817428589,0.6818495988845825,0.05357142857142857
