split,metric,test,left,right,n_folds,mean_diff,sd_diff,right_wins,p_raw,p_holm
diverse_25,r2,wilcoxon,lgbm,median,50,-0.2370066343830316,0.20209182338335935,0.1,7.237197507947712e-10,5.78975800635817e-09
diverse_25,r2,wilcoxon,chemeleon,monroe35,50,0.09004098578302398,0.1371931369587063,0.74,1.367585375788849e-05,6.837926878944245e-05
diverse_25,r2,wilcoxon,chemeleon,median,50,-0.23536326213180866,0.22205327944436254,0.12,1.5961560961841315e-09,1.117309267328892e-08
diverse_25,r2,wilcoxon,monroe35,median,50,-0.3254042479148327,0.1890996673145509,0.0,1.7763568394002505e-15,1.7763568394002505e-14
diverse_25,r2,t_target,knn,lgbm,10,0.10257040893444498,0.08927262536577292,0.8,0.005457326526555343,0.02182930610622137
diverse_25,r2,t_target,knn,chemeleon,10,0.100927036683222,0.09881003622408219,0.8,0.010322164732480677,0.030966494197442032
diverse_25,r2,t_target,knn,monroe35,10,0.19096802246624606,0.08439582684517094,1.0,5.334424931212665e-05,0.0005334424931212666
diverse_25,r2,t_target,knn,median,10,-0.13443622544858663,0.1371351184395088,0.1,0.012721586934798733,0.030966494197442032
diverse_25,r2,t_target,lgbm,chemeleon,10,-0.001643372251222948,0.09782623983254801,0.6,0.9587945662790546,0.9587945662790546
diverse_25,r2,t_target,lgbm,monroe35,10,0.08839761353180106,0.06572090532646169,0.8,0.002131742368932411,0.012790454213594465
diverse_25,r2,t_target,lgbm,median,10,-0.23700663438303163,0.16434539001690734,0.1,0.001365486635472686,0.010923893083781487
diverse_25,r2,t_target,chemeleon,monroe35,10,0.09004098578302401,0.06300217502967527,0.9,0.0014479552191009244,0.010923893083781487
diverse_25,r2,t_target,chemeleon,median,10,-0.23536326213180864,0.18597367687912153,0.1,0.0031006222388496422,0.015503111194248211
diverse_25,r2,t_target,monroe35,median,10,-0.32540424791483263,0.17425621052938464,0.0,0.00022759868022918504,0.0020483881220626655
umap,r2,t,knn,lgbm,50,0.17190516575080095,0.26729247750339447,0.74,3.5774241802883814e-05,0.00025041969262018667
umap,r2,t,knn,chemeleon,50,0.20416512026948538,0.3626515156246982,0.74,0.00022686316332221336,0.0013611789799332801
umap,r2,t,knn,monroe35,50,0.32152955947498557,0.25109009799500354,0.9,4.886618655948053e-12,4.886618655948053e-11
umap,r2,t,knn,median,50,0.08211302299012951,0.45445802971355304,0.74,0.20740196813813375,0.46248470558900584
umap,r2,t,lgbm,chemeleon,50,0.032259954518684436,0.3079870662873266,0.62,0.46243689841021945,0.46248470558900584
umap,r2,t,lgbm,monroe35,50,0.1496243937241846,0.1852718826265387,0.8,6.514274403899124e-07,5.862846963509212e-06
umap,r2,t,lgbm,median,50,-0.08979214276067146,0.4386762017755848,0.38,0.1541615685296686,0.46248470558900584
umap,r2,t,chemeleon,monroe35,50,0.11736443920550016,0.32756358657771645,0.66,0.01454135156339259,0.07270675781696295
umap,r2,t,chemeleon,median,50,-0.12205209727935591,0.5310513026212225,0.38,0.1105460551846778,0.4421842207387112
umap,r2,t,monroe35,median,50,-0.23941653648485606,0.3637949346757339,0.24,2.5096670968999364e-05,0.0002007733677519949
umap,r2,wilcoxon,knn,lgbm,50,0.17190516575080095,0.26729247750339447,0.74,4.213757459226031e-05,0.00025282544755356184
umap,r2,wilcoxon,knn,chemeleon,50,0.20416512026948538,0.3626515156246982,0.74,5.070202146129077e-06,3.549141502290354e-05
umap,r2,wilcoxon,knn,monroe35,50,0.32152955947498557,0.25109009799500354,0.9,4.9604764740251994e-11,4.960476474025199e-10
umap,r2,wilcoxon,knn,median,50,0.08211302299012951,0.45445802971355304,0.74,0.0037864469724659955,0.015145787889863982
umap,r2,wilcoxon,lgbm,chemeleon,50,0.032259954518684436,0.3079870662873266,0.62,0.12799334338745183,0.25598668677490366
umap,r2,wilcoxon,lgbm,monroe35,50,0.1496243937241846,0.1852718826265387,0.8,3.0412363649645613e-07,2.737112728468105e-06
umap,r2,wilcoxon,lgbm,median,50,-0.08979214276067146,0.4386762017755848,0.38,0.2653376709882824,0.2653376709882824
umap,r2,wilcoxon,chemeleon,monroe35,50,0.11736443920550016,0.32756358657771645,0.66,0.002614123910062105,0.013070619550310525
umap,r2,wilcoxon,chemeleon,median,50,-0.12205209727935591,0.5310513026212225,0.38,0.054216182330456775,0.16264854699137032
umap,r2,wilcoxon,monroe35,median,50,-0.23941653648485606,0.3637949346757339,0.24,2.1002898957789284e-06,1.6802319166231428e-05
umap,r2,t_target,knn,lgbm,10,0.171905165750801,0.1442143645740368,0.8,0.0044200569759428,0.0309403988315996
umap,r2,t_target,knn,chemeleon,10,0.2041651202694854,0.15146330044056547,0.9,0.002103097745663149,0.01682478196530519
umap,r2,t_target,knn,monroe35,10,0.3215295594749856,0.11315509950035091,1.0,8.65066416178076e-06,8.65066416178076e-05
umap,r2,t_target,knn,median,10,0.08211302299012953,0.24001500639678178,0.8,0.3074458513811837,0.9871036945681724
umap,r2,t_target,lgbm,chemeleon,10,0.03225995451868444,0.13948013891055303,0.8,0.483145797518052,0.9871036945681724
umap,r2,t_target,lgbm,monroe35,10,0.1496243937241846,0.0946738200359861,1.0,0.000741264601517798,0.006671381413660181
