target,split,fold,method,n,mae,r2,spearman,source
262,butina,3,monroe35,200.0,0.9012075377171607,-0.21282462024386994,0.26265675083924644,fitted
262,butina,3,pub_gnn,,1.3248775005340576,-1.4073927402496338,-0.2345779350755978,published
262,butina,3,pub_knn,,0.8618727774283065,-0.0692697997856941,0.2319934657865965,published
262,butina,3,pub_mlp,,0.9009162187576294,-0.1944755315780639,0.4281016187285284,published
262,butina,3,pub_rf,,0.9156192518221452,-0.2109873586996389,0.2398441662890765,published
262,butina,3,pub_svm,,0.980442754358138,-0.4052094823971539,0.3227259897982902,published
262,butina,3,pub_xgboost,,0.9662887661101056,-0.462632366229881,0.1597794648540667,published
262,butina,4,chemeleon,200.0,0.6480140887412591,0.1465036291855627,0.39993819672502523,fitted
262,butina,4,knn,200.0,0.7774287282313587,-0.22719157236058662,0.13247235812913447,fitted
262,butina,4,lgbm,200.0,0.6886529273510666,0.08414050201329382,0.3240611811291812,fitted
262,butina,4,median,200.0,0.79442148019962,-0.13223235067088535,,fitted
262,butina,4,monroe35,200.0,0.6725961901329853,0.10399565304292602,0.33717992438658956,fitted
262,butina,4,pub_gnn,,0.8626916408538818,-0.4746491909027099,0.3460799239033737,published
262,butina,4,pub_knn,,0.7774287284036232,-0.2271915732593794,0.1325073345485659,published
262,butina,4,pub_mlp,,0.8088141679763794,-0.2420623302459716,0.0648734153786415,published
262,butina,4,pub_rf,,0.6696854582770139,0.1115065263876253,0.2540453536825977,published
262,butina,4,pub_svm,,0.6886907529002435,0.0671154546367613,0.2362108460244827,published
262,butina,4,pub_xgboost,,0.7731722272210284,-0.1587174897432348,0.169186060978129,published
262,butina,5,chemeleon,200.0,0.6895359082913609,0.37477636404222137,0.507583408600983,fitted
262,butina,5,knn,200.0,0.7836374700700639,0.14109713412414826,0.4003347408478803,fitted
262,butina,5,lgbm,200.0,0.6596528229134293,0.3865022417304842,0.5905062884103447,fitted
262,butina,5,median,200.0,0.9040839424900406,-0.07092298910108585,,fitted
262,butina,5,monroe35,200.0,0.6682683096200757,0.36736070109265384,0.5274525651354762,fitted
