endpoint,repeat,fold,fusion,modality,mean_abs_shap
LOG_HPPB,2,4,early,rdkit,0.43759395572310555
LOG_HPPB,2,4,early,mol2vec,1.14805838950506
LOG_HPPB,2,4,early,gnn,0.23608474564438786
LOG_HPPB,2,4,early,smiles,0.381429633089219
LOG_RPPB,1,0,early,rdkit,0.3040439621839753
LOG_RPPB,1,0,early,mol2vec,0.8226601674676788
LOG_RPPB,1,0,early,gnn,0.2981077562806718
LOG_RPPB,1,0,early,smiles,0.2842101151614105
LOG_RPPB,1,2,early,rdkit,0.1669589359127155
LOG_RPPB,1,2,early,mol2vec,0.6991704816687027
LOG_RPPB,1,2,early,gnn,0.5893529483926933
LOG_RPPB,1,2,early,smiles,0.1663064550402485
LOG_RPPB,1,1,early,rdkit,0.27369370674974874
LOG_RPPB,1,1,early,mol2vec,0.8074470927174795
