endpoint,method,repeat,n_folds,n,sigma,err_unc_corr,ece,miscalibration_area
LOG_HLM,uni_S_rf,3,5,929,0.1447964709831631,0.18238552655656876,0.24323953251782765,0.24462351659918163
LOG_HLM,uni_S_rf,4,5,929,0.11345281381399457,0.13395452106836495,0.2804455276491028,0.2809589748827176
LOG_HPPB,chemeleon,0,5,66,0.17498601890941543,-0.026994365264059537,0.3818491871981603,0.3769929370445242
LOG_HPPB,chemeleon,1,5,66,0.1815531055589594,0.13647261713935432,0.358218760704677,0.3537896481575878
LOG_HPPB,chemeleon,2,5,66,0.15211348167004551,-0.1708314982284012,0.3873185365814697,0.3851796905278129
LOG_HPPB,chemeleon,3,5,66,0.14261941828892985,-0.03218834159680366,0.39156062005379744,0.3903410536651652
LOG_HPPB,chemeleon,4,5,66,0.14049788267171914,0.11100209558071299,0.38803038414040203,0.3810501307036922
LOG_HPPB,chemprop,0,5,66,0.12937744151024658,0.3048537514675848,0.43699911328672314,0.4308891018158667
LOG_HPPB,chemprop,1,5,66,0.1441504965410996,-0.02653378798230379,0.433856239374052,0.42767523165873655
LOG_HPPB,chemprop,2,5,66,0.11689980630751978,0.12072600504846868,0.45803548207035905,0.45016286762210295
LOG_HPPB,chemprop,3,5,66,0.15976472526042268,0.11118804082473402,0.41000922684442587,0.41486201044794546
LOG_HPPB,chemprop,4,5,66,0.13210474628851676,-0.12630555901644616,0.43727740460542264,0.4329927954160613
LOG_HPPB,chemprop_st,0,5,66,0.18282167327136498,0.2055821902690739,0.46218690899530174,0.45276504971696657
LOG_HPPB,chemprop_st,1,5,66,0.14085010462674197,0.16816300816728277,0.5048439778208338,0.4969297352524888
LOG_HPPB,chemprop_st,2,5,66,0.12078977170695121,0.037775737032339926,0.5255064909124427,0.5169778741739312
LOG_HPPB,chemprop_st,3,5,66,0.15722250415344594,0.11637775348046478,0.48130561726503895,0.47590171280805726
LOG_HPPB,chemprop_st,4,5,66,0.14242877901531767,0.07329002570750842,0.4962502330458339,0.4937179205799535
LOG_HPPB,fus_GRMS_early_attfp,0,5,66,0.3217588830409476,0.045955543666642465,0.21254456204164351,0.26177518054505045
LOG_HPPB,fus_GRMS_early_attfp,1,5,66,0.25115291577187726,0.02812527902209926,0.26672617145458655,0.26467114171601236
LOG_HPPB,fus_GRMS_early_attfp,2,5,66,0.32431238524855355,0.17122206179683022,0.2760405894669872,0.2845289438913784
LOG_HPPB,fus_GRMS_early_attfp,3,5,66,0.41683913389722155,0.08919698465952308,0.2418875666312541,0.20917933450360643
LOG_HPPB,fus_GRMS_early_attfp,4,5,66,0.2756178234331609,0.39626560596862903,0.25911948710752947,0.2787893253312269
LOG_HPPB,fus_GRMS_early_lgbm,0,5,66,0.29589054665294473,0.06653089350842707,0.22798994036834655,0.2667651989962528
LOG_HPPB,fus_GRMS_early_lgbm,1,5,66,0.2720988414050261,0.20446007279513626,0.28819016413332876,0.28469549857508625
LOG_HPPB,fus_GRMS_early_lgbm,2,5,66,0.28693763913761616,-0.04601973370427337,0.24106104756848054,0.26524079500369563
LOG_HPPB,fus_GRMS_early_lgbm,3,5,66,0.2823664373691908,0.24934300115874655,0.2834111871183651,0.3094850171708201
LOG_HPPB,fus_GRMS_early_lgbm,4,5,66,0.2433186145188088,-0.004524750448995619,0.35368186773168336,0.3438776047428895
LOG_HPPB,fus_GRMS_early_rf,0,5,66,0.20695470790213077,0.19998173883028084,0.361919249950447,0.3521707234519643
LOG_HPPB,fus_GRMS_early_rf,1,5,66,0.20682249264658703,0.34392020706987947,0.37731200414099153,0.37056960253224797
LOG_HPPB,fus_GRMS_early_rf,2,5,66,0.19032081752015773,0.19563108686759761,0.39323798250448566,0.3894994746213218
LOG_HPPB,fus_GRMS_early_rf,3,5,66,0.2336222443160763,0.3267071092153565,0.3426075945716017,0.33799183668396715
LOG_HPPB,fus_GRMS_early_rf,4,5,66,0.22668694149594637,0.15015041401809073,0.348068600074974,0.3385890096663911
LOG_HPPB,fus_GRMS_late_attfp,0,5,66,0.223877125469197,-0.09254444768434211,0.35709199926575297,0.35590521089975946
LOG_HPPB,fus_GRMS_late_attfp,1,5,66,0.20678325626606367,0.03353221252704581,0.36852988844902784,0.3631305638298286
LOG_HPPB,fus_GRMS_late_attfp,2,5,66,0.24489608992652767,-0.0049869606521903915,0.3529269555670539,0.3507788543651753
LOG_HPPB,fus_GRMS_late_attfp,3,5,66,0.2757470509075853,0.10004750890167736,0.3079926282616556,0.3079989984125923
LOG_HPPB,fus_GRMS_late_attfp,4,5,66,0.31159217819223184,0.08915274784609291,0.2783337772668885,0.27271719046955234
LOG_HPPB,fus_GRMS_late_lgbm,0,5,66,0.19792332309469576,0.12164789783696019,0.29067664438881324,0.28799020930630154
LOG_HPPB,fus_GRMS_late_lgbm,1,5,66,0.1743150424606787,-0.011642686126141603,0.33694126587775136,0.3277556848946506
LOG_HPPB,fus_GRMS_late_lgbm,2,5,66,0.21570735214447664,0.16263056169894713,0.27788477791825866,0.27817403029017657
LOG_HPPB,fus_GRMS_late_lgbm,3,5,66,0.20897732215582068,0.12188080791366822,0.3064903834541398,0.3019851782764873
LOG_HPPB,fus_GRMS_late_lgbm,4,5,66,0.18496969235690547,0.005636155286690886,0.3048481428420026,0.30116512462129813
